FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4800000,0,0,0,0,0,0,6069,0,0,0,0,0,0,0,0,12,-2,0,0,2,0,0,0,0,0,0,0,0,0,1553,0,-1,0,0,0,0,0,0,0,Everton,Crystal Palace,Southampton,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tammy,Abraham,FWD,CHE,7200000,1,64,3.8,5.27777777777778E-07,8.88888888888889E-06,0,556314,0,11,0,0,0,6,0,8.9,21854,-3,0,64,3,0.1,0,1,8,0,5,0,2,3.8,508971,0,-1,0,1,905,13831,0,0,222,Burnley,Tottenham,Sheffield United,Newcastle,Southampton,3.9,4,4.6,5,3.3,3.8,3.7,4.2,3.9,4.7,4.5,4.3,3.4,4.4,2.8,3.4,3.8,3.4,84.3
Che,Adams,FWD,SOU,5900000,2,74,4.1,6.94915254237288E-07,1.25423728813559E-05,0,1115749,1,22,0,0,0,4,0,12.5,25046,-1,1,74,1,0.2,0,1.3,9,0,6,0,5,5.4,1182602,0,-1,0,1,1507,13959,-1,0,244,Aston Villa,Man Utd,Newcastle,Wolverhampton,Chelsea,4.2,4.5,4.8,4.9,4.4,4.4,4.8,5,4.1,4.6,5.1,6,0,4.4,4,5.2,4.4,3.5,107
Tosin,Adarabioyo,DEF,FUL,4500000,6,49,3.3,7.33333333333333E-07,1.08888888888889E-05,0,23914,1,16,0,0,0,0,0,10.9,1288,0,0,49,0,0.6,0,2.8,5,0,4,0,1,0.4,51353,0,-1,0,1,1350,1466,0,0,259,West Brom,Leicester,West Ham,Everton,Sheffield United,4,3.2,3.9,3.1,3.4,3.4,3.8,4.7,2.7,3.8,4.4,4,0,2.8,3.3,2.5,4.1,3,43.1
,Adrian,GLK,LIV,4200000,0,2,0.1,2.38095238095238E-08,4.76190476190476E-07,0,57838,0,9,0,7,0,0,0,0.5,322,-3,0,2,3,0,0,0,0,0,0,0,0,0.3,52509,0,-1,0,0,180,151,0,0,28,West Ham,Brighton,Man City,Leicester,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Sergio,Aguero,FWD,MCI,10300000,0,6,1.2,1.16504854368932E-07,5.8252427184466E-07,0,495401,0,2,0,0,0,0,0,0.6,1163,-2,0,6,2,0,0,0.2,0,0,1,0,0,1.1,287385,0,-1,0,0,140,290,0,0,20,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0,0.7,0.6,0.7,0.7,0.6,10.4
Ola,Aina,DEF,FUL,4500000,6,52,3.2,7.11111111111111E-07,1.15555555555556E-05,0,40842,1,17,0,0,0,1,0,11.6,1273,0,0,52,0,0.6,0,2.5,3,0,4,0,0,0.5,69581,0,-1,0,1,1424,3028,0,0,251,West Brom,Leicester,West Ham,Everton,Sheffield United,3.8,3,3.7,3,3.2,3.3,3.7,4.5,2.6,3.7,4.2,3.8,0,2.7,3.1,2.4,4,2.9,45.2
Rayan,Ait Nouri,DEF,WOL,5000000,1,32,1.6,3.2E-07,6.4E-06,0,41731,0,11,0,0,0,1,0,6.4,1008,0,0,32,0,0.4,0,2.2,5,0,1,0,1,0.2,48717,0,-1,0,1,689,144,0,0,136,Crystal Palace,Arsenal,Leicester,Southampton,Leeds United F.C.,0,1.2,1.1,0.8,0.9,0.8,1.2,1.5,1.7,1.4,1.2,1.1,1.1,1.3,1,1,0.9,1.3,33.8
Oluwasemilogo Adesewo Ibidapo,Ajayi,DEF,WBA,4800000,0,38,2,4.16666666666667E-07,7.91666666666667E-06,0,32237,3,48,0,0,0,2,0,7.9,956,-2,0,38,2,0.4,0,1.8,2,0,1,0,1,0.3,25192,0,-1,0,0,1710,2012,0,0,233,Fulham,Sheffield United,Tottenham,Man Utd,Burnley,1.8,1.5,1.6,1.6,1.6,1.3,1.2,1.7,1.1,1.3,1.3,1.8,1.9,2.1,2,1.9,1.8,1.5,50.7
Albian,Ajeti,FWD,WHU,5500000,0,0,0,0,0,0,808,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,663,0,-1,0,0,0,0,0,0,0,Liverpool,Aston Villa,Fulham,Sheffield United,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,MCI,5400000,0,21,1.10526315789474,2.04678362573099E-07,3.88888888888889E-06,0,603919,3,7,0,0,0,1,0,3.9,2833,-1,0,21,1,0,0,0,1,0,2,0,0,2.7,261715,0,-1,0,0,469,21,0,0,97,Sheffield United,Burnley,Liverpool,Tottenham,Arsenal,0,0,0,0,0,0.8,0.7,0.6,1,0.6,0.6,0.6,0,0.6,0.6,0.6,0.6,0.6,16.6
