Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Gw,FirstName
Lukasz Fabianski,5.426902,GK,West Ham United,1,Wolverhampton Wanderers,5,FALSE,2021,30,Fabianski
Hugo Lloris,5.378811,GK,Tottenham Hotspur,1,Newcastle United,5.6,FALSE,2021,30,Lloris
Sam Johnstone,4.8536587,GK,West Bromwich Albion,1,Chelsea,4.5,FALSE,2021,30,Johnstone
Nick Pope,4.664537,GK,Burnley,1,Southampton,5.5,FALSE,2021,30,Pope
Emiliano Martinez,4.3811283,GK,Aston Villa,1,Fulham,5.4,TRUE,2021,30,Martinez
Robert Sanchez,4.3769712,GK,Brighton and Hove Albion,1,Manchester United,4.5,FALSE,2021,30,Sanchez
Rui Pedro dos Santos Patricio,4.130266,GK,Wolverhampton Wanderers,0.75,West Ham United,5.3,TRUE,2021,30,Patricio
Illan Meslier,3.919234,GK,Leeds,1,Sheffield United,4.6,TRUE,2021,30,Meslier
Vicente Guaita,3.8801756,GK,Crystal Palace,1,Everton,4.8,FALSE,2021,30,Guaita
Aaron Ramsdale,3.6038182,GK,Sheffield United,1,Leeds,4.6,FALSE,2021,30,Ramsdale
Ederson Santana de Moraes,3.5706182,GK,Manchester City,1,Leicester City,6.1,FALSE,2021,30,Ederson
Bernd Leno,3.0843396,GK,Arsenal,1,Liverpool,5,TRUE,2021,30,Leno
Jordan Pickford,3.0824294,GK,Everton,0.75,Crystal Palace,4.8,TRUE,2021,30,Pickford
David de Gea,3.0339804,GK,Manchester United,1,Brighton and Hove Albion,5.3,TRUE,2021,30,de Gea
Edouard Mendy,3.0133905,GK,Chelsea,1,West Bromwich Albion,5.1,TRUE,2021,30,Mendy
Alphonse Areola,2.8190365,GK,Fulham,1,Aston Villa,4.6,FALSE,2021,30,Areola
Dean Henderson,1.9784666,GK,Manchester United,1,Brighton and Hove Albion,5.2,TRUE,2021,30,Henderson
Kasper Schmeichel,1.6065261,GK,Leicester City,1,Manchester City,5.5,TRUE,2021,30,Schmeichel
Kepa Arrizabalaga,1.5200379,GK,Chelsea,1,West Bromwich Albion,4.7,TRUE,2021,30,Arrizabalaga
Alex McCarthy,1.4308584,GK,Southampton,1,Burnley,4.5,TRUE,2021,30,McCarthy
Alisson Ramses Becker,1.4136344,GK,Liverpool,1,Arsenal,5.9,FALSE,2021,30,Alisson
AdriÃ¡n San Miguel del Castillo,0.9328627,GK,Liverpool,1,Arsenal,4.2,FALSE,2021,30,AdriÃ¡n
Karl Darlow,0.8991455,GK,Newcastle United,1,Tottenham Hotspur,5,TRUE,2021,30,Darlow
Robin Olsen,0.7908654,GK,Everton,0.75,Crystal Palace,4.5,TRUE,2021,30,Olsen
JoÃ£o VirgÃ­nia,0.70097876,GK,Everton,1,Crystal Palace,4.3,TRUE,2021,30,VirgÃ­nia
Fraser Forster,0.504754,GK,Southampton,1,Burnley,4,TRUE,2021,30,Forster
Martin Dubravka,0.4935149,GK,Newcastle United,1,Tottenham Hotspur,4.8,TRUE,2021,30,Dubravka
Mathew Ryan,0.43827212,GK,Arsenal,1,Liverpool,4.2,TRUE,2021,30,Ryan
Darren Randolph,0.25681967,GK,West Ham United,0.25,Wolverhampton Wanderers,4.3,FALSE,2021,30,Randolph
Willy Caballero,0.025448108,GK,Chelsea,1,West Bromwich Albion,4.6,TRUE,2021,30,Caballero
Lee Grant,0.025448108,GK,Manchester United,1,Brighton and Hove Albion,4,TRUE,2021,30,Grant
Sergio Romero,0.01913762,GK,Manchester United,0,Brighton and Hove Albion,4.9,TRUE,2021,30,Romero
Jed Steer,0.01913762,GK,Aston Villa,1,Fulham,3.9,TRUE,2021,30,Steer
John Ruddy,0.01913762,GK,Wolverhampton Wanderers,1,West Ham United,4.3,TRUE,2021,30,Ruddy
RÃºnar Alex RÃºnarsson,0.014968167,GK,Arsenal,1,Liverpool,4.4,TRUE,2021,30,RÃºnarsson
Matt Macey,0.014968167,GK,Arsenal,0,Liverpool,4,TRUE,2021,30,Macey
Karlo Ziger,0.014968167,GK,Chelsea,1,West Bromwich Albion,4,TRUE,2021,30,Ziger
Ã˜rjan Nyland,0.014968167,GK,Aston Villa,0,Fulham,4,TRUE,2021,30,Nyland
Danny Ward,0.014968167,GK,Leicester City,1,Manchester City,4.3,TRUE,2021,30,Ward
Matija Sarkic,0.014968167,GK,Wolverhampton Wanderers,0,West Ham United,4.4,TRUE,2021,30,Sarkic
Andreas SÃ¶ndergaard,0.014968167,GK,Wolverhampton Wanderers,1,West Ham United,4,TRUE,2021,30,SÃ¶ndergaard
Harry Lewis,0.014968167,GK,Southampton,1,Burnley,4,TRUE,2021,30,Lewis
Daniel Langley,0.014968167,GK,Newcastle United,1,Tottenham Hotspur,3.9,TRUE,2021,30,Langley
Nathan Bishop,0.014968167,GK,Manchester United,1,Brighton and Hove Albion,4,TRUE,2021,30,Bishop
Mark Gillespie,0.014968167,GK,Newcastle United,1,Tottenham Hotspur,4.3,TRUE,2021,30,Gillespie
Francisco Casilla CortÃ©s,0.014968167,GK,Leeds,1,Sheffield United,4.2,TRUE,2021,30,Casilla
Jonas LÃ¶ssl,0.014968167,GK,Everton,0,Crystal Palace,4.3,TRUE,2021,30,LÃ¶ssl
Harry Tyrer,0.014968167,GK,Everton,1,Crystal Palace,4,TRUE,2021,30,Tyrer
Elia Caprile,0.014968167,GK,Leeds,1,Sheffield United,4,TRUE,2021,30,Caprile
Kamil Miazek,0.014968167,GK,Leeds,0,Sheffield United,4,TRUE,2021,30,Miazek
Tom Heaton,0.010383477,GK,Aston Villa,1,Fulham,4.5,TRUE,2021,30,Heaton
Angus Gunn,0.009488544,GK,Southampton,0,Burnley,4.3,TRUE,2021,30,Gunn
Jack Butland,-0.000298281,GK,Crystal Palace,1,Everton,4.5,FALSE,2021,30,Butland
Claudio Bravo,-0.00493132,GK,Manchester City,0,Leicester City,4.5,FALSE,2021,30,Bravo
Joe Hart,-0.0057779,GK,Tottenham Hotspur,1,Newcastle United,4.3,FALSE,2021,30,Hart
Will Norris,-0.006608768,GK,Burnley,1,Southampton,4,FALSE,2021,30,Norris
Marek RodÃ¡k,-0.010778227,GK,Fulham,0.25,Aston Villa,4.3,FALSE,2021,30,RodÃ¡k
Fabricio Agosto RamÃ­rez,-0.010778227,GK,Fulham,1,Aston Villa,3.9,FALSE,2021,30,Fabri
Liam Hughes,-0.010778227,GK,Liverpool,1,Arsenal,4,FALSE,2021,30,Hughes
Andy Lonergan,-0.010778227,GK,West Bromwich Albion,1,Chelsea,4,FALSE,2021,30,Lonergan
Stephen Henderson,-0.010778227,GK,Crystal Palace,1,Everton,4,FALSE,2021,30,Henderson
Michael Verrips,-0.010778227,GK,Sheffield United,0,Leeds,4,FALSE,2021,30,Verrips
David Martin,-0.010778227,GK,West Ham United,1,Wolverhampton Wanderers,3.9,FALSE,2021,30,Martin
Wes Foderingham,-0.010778227,GK,Sheffield United,1,Leeds,4.3,FALSE,2021,30,Foderingham
Thomas McGill,-0.010778227,GK,Brighton and Hove Albion,1,Manchester United,3.9,FALSE,2021,30,McGill
Nathan Trott,-0.010778227,GK,West Ham United,1,Wolverhampton Wanderers,4,FALSE,2021,30,Trott
Paulo Gazzaniga,-0.010778227,GK,Tottenham Hotspur,0,Newcastle United,4.3,FALSE,2021,30,Gazzaniga
Christian Walton,-0.010778227,GK,Brighton and Hove Albion,1,Manchester United,4,FALSE,2021,30,Walton
Jason Steele,-0.010778227,GK,Brighton and Hove Albion,1,Manchester United,3.9,FALSE,2021,30,Steele
James Trafford,-0.010778227,GK,Manchester City,1,Leicester City,4,FALSE,2021,30,Trafford
Scott Carson,-0.010778227,GK,Manchester City,1,Leicester City,3.9,FALSE,2021,30,Carson
Jakub Ojrzynski,-0.010778227,GK,Liverpool,1,Arsenal,4,FALSE,2021,30,Ojrzynski
Zack Steffen,-0.015411267,GK,Manchester City,1,Leicester City,4.4,FALSE,2021,30,Steffen
Marcus Bettinelli,-0.015411267,GK,Fulham,0,Aston Villa,4.3,FALSE,2021,30,Bettinelli
Bailey Peacock-Farrell,-0.015411267,GK,Burnley,1,Southampton,4,FALSE,2021,30,Peacock-Farrell
Simon Moore,-0.015411267,GK,Sheffield United,0,Leeds,4.3,FALSE,2021,30,Moore
Roberto Jimenez Gago,-0.015411267,GK,West Ham United,0,Wolverhampton Wanderers,4.5,FALSE,2021,30,Roberto
David Button,-0.016257847,GK,West Bromwich Albion,1,Chelsea,3.9,FALSE,2021,30,Button
Wayne Hennessey,-0.017699843,GK,Crystal Palace,1,Everton,4.3,FALSE,2021,30,Hennessey
