Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,GW,FirstName
Edouard Mendy,5.760044,GK,Chelsea,1,Brighton and Hove Albion,5.2,TRUE,2021,90,32,Mendy
Hugo Lloris,5.5488267,GK,Tottenham Hotspur,1,Southampton,5.6,TRUE,2021,90,32,Lloris
Lukasz Fabianski,5.3032446,GK,West Ham United,1,Newcastle United,5,FALSE,2021,90,32,Fabianski
Dean Henderson,4.9404426,GK,Manchester United,1,Burnley,5.2,TRUE,2021,90,32,Henderson
Hugo Lloris,4.608258,GK,Tottenham Hotspur,1,Everton,5.6,FALSE,2021,90,32,Lloris
Sam Johnstone,4.5684147,GK,West Bromwich Albion,1,Leicester City,4.5,FALSE,2021,90,32,Johnstone
Rui Pedro dos Santos Patricio,4.3323646,GK,Wolverhampton Wanderers,1,Sheffield United,5.3,TRUE,2021,90,32,PatrÃ­cio
Emiliano Martinez,4.3323646,GK,Aston Villa,1,Manchester City,5.4,TRUE,2021,90,32,MartÃ­nez
Martin Dubravka,4.1393948,GK,Newcastle United,1,West Ham United,4.8,TRUE,2021,90,32,Dubravka
Robert Sanchez,4.091725,GK,Brighton and Hove Albion,1,Chelsea,4.5,FALSE,2021,90,32,SÃ¡nchez
Alisson Ramses Becker,3.9579227,GK,Liverpool,1,Leeds,5.9,FALSE,2021,90,32,Alisson
Robin Olsen,3.9437988,GK,Everton,1,Tottenham Hotspur,4.5,TRUE,2021,90,32,Olsen
Illan Meslier,3.8704708,GK,Leeds,1,Liverpool,4.7,TRUE,2021,90,32,Meslier
Jordan Pickford,3.7683496,GK,Everton,1,Tottenham Hotspur,4.8,TRUE,2021,66,32,Pickford
Ederson Santana de Moraes,3.5706182,GK,Manchester City,1,Aston Villa,6.1,FALSE,2021,90,32,Ederson
Aaron Ramsdale,3.525552,GK,Sheffield United,1,Wolverhampton Wanderers,4.6,FALSE,2021,90,32,Ramsdale
Bernd Leno,3.0843396,GK,Arsenal,1,Fulham,5,TRUE,2021,90,32,Leno
Alphonse Areola,2.5337915,GK,Fulham,1,Arsenal,4.6,FALSE,2021,90,32,Areola
